NODES,,,,,,,,,,,,,,,,,,,,,
ID,X,Y,Z,,,,,,,,,,,,,,,,,,
44,30,0,0,0,1,1,1,,,,,,,,,,,,,,
44,16,0,0,0,1,1,1,,,,,,,,,,,,,,
45,32,0,0,0,1,1,1,,,,,,,,,,,,,,
45,33,0,0,0,1,1,1,,,,,,,,,,,,,,
46,32,0,0,0,1,1,1,,,,,,,,,,,,,,
46,31,0,0,0,1,1,1,,,,,,,,,,,,,,
47,32,0,0,0,1,1,1,,,,,,,,,,,,,,
47,16,0,0,0,1,1,1,,,,,,,,,,,,,,
48,32,0,0,0,1,1,1,,,,,,,,,,,,,,
48,19,0,0,0,1,1,1,,,,,,,,,,,,,,
49,34,0,0,0,1,1,1,,,,,,,,,,,,,,
49,35,0,0,0,1,1,1,,,,,,,,,,,,,,
50,34,0,0,0,1,1,1,,,,,,,,,,,,,,
50,36,0,0,0,1,1,1,,,,,,,,,,,,,,
51,34,0,0,0,1,1,1,,,,,,,,,,,,,,
